Polish,English
Lucyna,Lucine
Ludmiła,Ludmilla
Ludwika,Louise
Luiza,Louise
Łucja,"Lucy, Lucia"
Magdalena,Magdalen
Maja,May
Malwina,Melvine
Małgorzata,Margaret/Maggie
Maria,"Mary, Maria"
Marianna,"Marian, Marianne"
Marietta,Marietta
Mariola,Mariel
Marlena,Marlene
Marta,Martha
Martyna,Martine
Maryla,Marilyn
Maryna,Marina
Marzena,Marion
Melania,Melanie
Michalina,Michelle
Monika,Monica
Nadia,"Nadia, Nadya"
Nadzieja,"Nadezda, Nadya, Hope"
Natalia,Natalie
Natasza,Natasha
Nikola,Nicole
Nina,Nina
Odeta,Odette
Olga,Olga
Oliwia,"Olive, Olivia"
Otylia,Odile
Pamela,Pamela
Patrycja,Patricia
Paula,Paula
Paulina,Pauline
Pelagia,Pelagia
Ramona,Ramona
Renata,Renée
Regina,Regina
Roksana,Roxane
Rozalia,Rosalie
Róża,Rose
Ruta,Ruth
Sabina,Sabine
Samanta,Samantha
Sandra,Sandra
Sara,Sarah
Stanisława,Stacy
Stefania,Stephanie
Sylwia,"Sylvia, Silvia"
Szarlota,Charlotte
Tamara,"Tamara, Tammy"
Tatiana,"Tatiana, Tanya"
Teodora,Theodora
Teresa,Theresa
Urszula,Ursula
Violetta,Violet
Walentyna,Valentina
Wanda,"Vanda, Wanda"
Wanessa,Vanessa
Wera,Vera
Weronika,Veronica
Wiara,"Vera, Faith"
Wiera,Vera
Wiesława,"vele = 'great' + sław = 'famous, glory, renown'"
Wiktoria,Victoria
Wilhelmina,"Wilma, Wilhelmina"
Wioleta,Violet
Wirginia,Virginia
Zenobia,Zenobia
Zofia,Sophie
Zuzanna,Susan
Zygfryda,Sigfride
Zyta,Zita
Żaklina,Jacqueline
Żaneta,"Janet, Jeanette"
Żywia,Siwa
